question,answer,correct_feedback,wrong_feedback,hint
3+9,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+0,4,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+1,5,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+2,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+3,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+4,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+5,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+6,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+7,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+8,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
4+9,13,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+0,5,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+1,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+2,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+3,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+4,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+5,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+6,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+7,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+8,13,答對了！太棒了,答錯了，再試一次,把兩個數字相加
5+9,14,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+0,6,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+1,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+2,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+3,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+4,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+5,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+6,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+7,13,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+8,14,答對了！太棒了,答錯了，再試一次,把兩個數字相加
6+9,15,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+0,7,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+1,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+2,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+3,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+4,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+5,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+6,13,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+7,14,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+8,15,答對了！太棒了,答錯了，再試一次,把兩個數字相加
7+9,16,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+0,8,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+1,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+2,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+3,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+4,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+5,13,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+6,14,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+7,15,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+8,16,答對了！太棒了,答錯了，再試一次,把兩個數字相加
8+9,17,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+0,9,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+1,10,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+2,11,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+3,12,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+4,13,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+5,14,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+6,15,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+7,16,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+8,17,答對了！太棒了,答錯了，再試一次,把兩個數字相加
9+9,18,答對了！太棒了,答錯了，再試一次,把兩個數字相加
